City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Qaqortoq,GL,60.7167,-46.0333,29.16,55,1,3.78,clear sky
80,Alekseyevsk,RU,57.8406,108.3492,18.66,96,100,4.76,overcast clouds
81,Changji,CN,44.0167,87.3167,48.99,40,0,2.24,clear sky
82,Khatanga,RU,71.9667,102.5,-11.65,99,35,6.6,scattered clouds
83,Mahebourg,MU,-20.4081,57.7,81.25,83,40,4.61,scattered clouds
84,Fulton,US,33.7668,-84.4499,59.94,31,0,20.71,clear sky
85,Nabire,ID,-3.3667,135.4833,74.61,94,76,2.8,light rain
86,Butaritari,KI,3.0707,172.7902,80.11,75,100,12.06,overcast clouds
87,Talnakh,RU,69.4865,88.3972,20.21,76,100,6.6,overcast clouds
88,Annau,TM,37.8876,58.516,53.1,58,75,4.61,broken clouds
89,Honningsvag,NO,70.9821,25.9704,26.35,68,75,24.16,broken clouds
90,Thayetmyo,MM,19.3167,95.1833,83.34,56,3,8.84,clear sky
91,Hithadhoo,MV,-0.6,73.0833,83.89,68,7,13.67,clear sky
92,Mount Gambier,AU,-37.8333,140.7667,46.31,100,100,0.0,fog
93,Jishou,CN,28.3167,109.7167,51.49,94,100,2.28,overcast clouds
94,Georgetown,MY,5.4112,100.3354,84.13,88,20,3.44,moderate rain
95,Andenes,NO,69.3143,16.1194,28.92,86,75,19.57,light snow
96,Faya,SA,18.3851,42.4509,64.51,53,0,3.94,clear sky
97,Salinopolis,BR,-0.6136,-47.3561,80.92,82,100,8.52,light rain
98,Bulungu,CD,-4.55,18.6,85.89,64,97,1.9,overcast clouds
99,Airai,TL,-8.9266,125.4092,59.74,93,70,0.83,broken clouds
100,Baracoa,CU,20.3467,-74.4958,83.73,60,44,4.72,scattered clouds
101,Santa Maria,BR,-29.6842,-53.8069,67.3,68,75,12.66,broken clouds
102,Kavieng,PG,-2.5744,150.7967,81.79,76,97,7.96,overcast clouds
103,Bathsheba,BB,13.2167,-59.5167,84.81,61,40,19.57,scattered clouds
104,Broken Hill,AU,-31.95,141.4333,69.78,46,33,8.75,scattered clouds
105,Hilo,US,19.7297,-155.09,68.25,91,100,6.91,light rain
106,Lerwick,GB,60.1545,-1.1494,48.2,86,96,12.59,overcast clouds
107,Coquimbo,CL,-29.9533,-71.3436,62.33,77,100,8.05,overcast clouds
108,Sao Filipe,CV,14.8961,-24.4956,70.83,74,50,12.03,scattered clouds
109,Doha,QA,25.2867,51.5333,73.38,40,0,19.57,clear sky
110,Weligama,LK,5.9667,80.4167,78.53,81,18,4.14,few clouds
111,Lorengau,PG,-2.0226,147.2712,81.14,77,95,7.52,overcast clouds
112,Bela,IN,25.9333,81.9833,83.21,9,0,8.37,clear sky
113,Taoudenni,ML,22.6783,-3.9836,93.25,10,55,3.56,broken clouds
114,Dzerzhinskoye,RU,56.8344,95.2283,21.65,78,76,14.5,broken clouds
115,Nara,JP,34.6851,135.8049,59.92,95,100,2.44,light rain
116,Paracatu,BR,-17.2222,-46.8747,88.07,37,62,5.44,broken clouds
117,Mandalgovi,MN,45.7625,106.2708,25.05,21,0,14.63,clear sky
118,Ahipara,NZ,-35.1667,173.1667,60.8,82,1,7.4,clear sky
119,Santa Ana,US,33.7456,-117.8678,73.56,84,100,3.44,haze
120,Samarai,PG,-10.6167,150.6667,81.34,76,100,1.74,overcast clouds
121,Dikson,RU,73.5069,80.5464,-1.48,85,100,11.77,overcast clouds
122,Nanortalik,GL,60.1432,-45.2371,29.61,77,0,10.11,clear sky
123,Adolfo Lopez Mateos,MX,28.4667,-107.3,59.94,10,98,2.46,overcast clouds
124,Lamu,KE,-2.2717,40.902,80.87,85,34,11.23,scattered clouds
125,Puerto Madryn,AR,-42.7692,-65.0385,73.49,27,50,22.55,scattered clouds
126,Salisbury,GB,51.0693,-1.7957,63.97,34,2,16.11,clear sky
127,Ribeira Grande,PT,38.5167,-28.7,57.6,88,75,13.8,mist
128,Kawai,JP,34.2333,135.85,51.84,98,100,5.26,light rain
129,Jieshi,CN,22.8134,115.8257,73.94,95,66,4.68,broken clouds
130,Athabasca,CA,54.7169,-113.2854,14.41,91,100,10.31,light snow
131,Kasempa,ZM,-13.4584,25.8338,70.79,88,100,2.71,light rain
132,Qaanaaq,GL,77.484,-69.3632,0.9,83,98,3.83,overcast clouds
133,Yei,SS,4.095,30.6779,80.1,53,99,11.86,light rain
134,Pevek,RU,69.7008,170.3133,-14.13,97,44,6.6,scattered clouds
135,Acari,PE,-15.4311,-74.6158,82.4,54,75,9.33,broken clouds
136,Ilulissat,GL,69.2167,-51.1,19.42,63,40,1.14,scattered clouds
137,Manubul,PH,5.4732,120.7986,83.07,77,91,13.87,overcast clouds
138,Saldanha,ZA,-33.0117,17.9442,75.25,72,82,9.24,broken clouds
139,Kodiak,US,57.79,-152.4072,27.91,100,75,4.61,broken clouds
140,San Sebastian,ES,43.3128,-1.975,68.34,50,20,4.61,few clouds
141,Tasiilaq,GL,65.6145,-37.6368,24.4,79,34,4.23,scattered clouds
142,Coihaique,CL,-45.5752,-72.0662,61.41,59,75,5.75,broken clouds
143,Meridian,US,43.6121,-116.3915,56.52,59,0,5.75,clear sky
144,Libertador General San Martin,AR,-23.8064,-64.7876,83.97,32,0,4.81,clear sky
